id,birthtime_1,birthtime_2,birthtime_3,birthtime_4,birthtime_5,birthtime_6,birthtime_7,birthtime_8,birthtime_9,birthtime_10,birthtime_11,birthtime_12,birthtime_13,birthtime_14,birthtime_15,birthtime_16,birthtime_17,birthtime_18,birthtime_19,birthtime_20,birthtime_21,birthtime_22,birthtime_23,birthtime_24,birthtime_25,birthtime_26,birthtime_27,birthtime_28,birthtime_29,birthtime_30
1,22.4666666666667,87.4666666666667,212.466666666667,314.966666666667,382.466666666667,449.983333333333,514.983333333333,522.483333333333,659.983333333333,,,,,,,,,,,,,,,,,,,,,
2,129.966666666667,179.966666666667,244.966666666667,334.966666666667,407.466666666667,464.983333333333,522.483333333333,,,,,,,,,,,,,,,,,,,,,,,
3,44.9833333333333,114.966666666667,144.966666666667,247.466666666667,307.466666666667,439.983333333333,479.983333333333,494.983333333333,,,,,,,,,,,,,,,,,,,,,,
4,279.966666666667,342.466666666667,414.966666666667,484.983333333333,549.983333333333,607.483333333333,695,755,822.5,,,,,,,,,,,,,,,,,,,,,
5,349.966666666667,414.966666666667,479.983333333333,562.483333333333,722.5,842.5,,,,,,,,,,,,,,,,,,,,,,,,
6,0,482.483333333333,610,717.5,,,,,,,,,,,,,,,,,,,,,,,,,,
7,72.4833333333333,142.466666666667,232.466666666667,292.466666666667,387.466666666667,547.483333333333,657.5,755,840,850,,,,,,,,,,,,,,,,,,,,
8,277.466666666667,532.483333333333,687.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.48333333333333,72.4833333333333,112.466666666667,139.966666666667,202.466666666667,277.466666666667,327.466666666667,379.966666666667,487.483333333333,577.483333333333,635,725,832.5,887.5,,,,,,,,,,,,,,,,
10,12.4833333333333,102.466666666667,232.466666666667,337.466666666667,667.5,735,747.5,757.5,775,787.5,797.5,807.516666666667,817.5,825,,,,,,,,,,,,,,,,
11,252.466666666667,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,149.966666666667,197.466666666667,274.966666666667,342.466666666667,534.983333333333,610,680,735,845,,,,,,,,,,,,,,,,,,,,,
13,0,14.9833333333333,109.966666666667,199.966666666667,284.966666666667,389.966666666667,494.983333333333,,,,,,,,,,,,,,,,,,,,,,,
14,0,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,22.4666666666667,232.466666666667,815,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,69.9833333333333,279.966666666667,352.466666666667,432.483333333333,647.5,795,,,,,,,,,,,,,,,,,,,,,,,
17,34.9833333333333,77.4666666666667,620,787.5,,,,,,,,,,,,,,,,,,,,,,,,,,
18,227.466666666667,577.483333333333,647.5,682.5,765,815,,,,,,,,,,,,,,,,,,,,,,,,
19,244.966666666667,274.966666666667,287.466666666667,294.966666666667,519.983333333333,552.483333333333,587.483333333333,627.483333333333,657.5,747.5,822.5,870,,,,,,,,,,,,,,,,,,
20,64.9666666666667,132.466666666667,252.466666666667,319.966666666667,384.966666666667,392.466666666667,517.483333333333,737.5,,,,,,,,,,,,,,,,,,,,,,
21,4.98333333333333,94.9666666666667,197.466666666667,357.466666666667,449.983333333333,,,,,,,,,,,,,,,,,,,,,,,,,
22,47.4833333333333,87.4666666666667,232.466666666667,309.966666666667,377.466666666667,439.983333333333,552.483333333333,650,662.5,812.5,,,,,,,,,,,,,,,,,,,,
23,294.966666666667,387.466666666667,497.483333333333,712.5,,,,,,,,,,,,,,,,,,,,,,,,,,
24,32.4666666666667,119.966666666667,184.983333333333,244.966666666667,304.966666666667,379.966666666667,454.983333333333,507.483333333333,542.483333333333,602.483333333333,659.983333333333,747.5,830,,,,,,,,,,,,,,,,,
25,39.9833333333333,107.466666666667,167.466666666667,257.466666666667,294.966666666667,439.983333333333,509.983333333333,762.5,775,,,,,,,,,,,,,,,,,,,,,
26,77.4666666666667,632.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,124.966666666667,267.466666666667,429.983333333333,502.483333333333,592.483333333333,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,57.4666666666667,124.966666666667,267.466666666667,459.983333333333,537.483333333333,597.483333333333,707.5,,,,,,,,,,,,,,,,,,,,,,
29,177.466666666667,224.966666666667,289.966666666667,850,,,,,,,,,,,,,,,,,,,,,,,,,,
30,159.966666666667,317.466666666667,347.466666666667,409.966666666667,514.983333333333,690,777.5,,,,,,,,,,,,,,,,,,,,,,,
31,24.9833333333333,114.966666666667,339.966666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,109.966666666667,247.466666666667,404.966666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,134.966666666667,342.466666666667,407.466666666667,472.483333333333,555,635,702.5,790,,,,,,,,,,,,,,,,,,,,,,
34,97.4666666666667,172.466666666667,247.466666666667,339.966666666667,472.483333333333,544.983333333333,552.483333333333,,,,,,,,,,,,,,,,,,,,,,,
35,59.9666666666667,112.466666666667,177.466666666667,427.483333333333,432.483333333333,454.983333333333,462.483333333333,805,842.5,862.5,,,,,,,,,,,,,,,,,,,,
36,114.966666666667,414.966666666667,690,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,49.9666666666667,129.966666666667,184.983333333333,257.466666666667,329.966666666667,397.466666666667,467.483333333333,537.483333333333,605,687.5,762.5,862.5,,,,,,,,,,,,,,,,,,
38,39.9833333333333,312.466666666667,369.966666666667,452.483333333333,517.483333333333,597.483333333333,657.5,730,800,870,882.5,,,,,,,,,,,,,,,,,,,
39,74.9666666666667,204.966666666667,299.966666666667,417.466666666667,499.983333333333,572.483333333333,642.483333333333,745,,,,,,,,,,,,,,,,,,,,,,
40,17.4833333333333,79.9833333333333,157.466666666667,224.966666666667,294.966666666667,357.466666666667,427.483333333333,507.483333333333,682.5,782.5,815,847.5,,,,,,,,,,,,,,,,,,
41,22.4666666666667,232.466666666667,339.966666666667,697.5,782.5,835,885,,,,,,,,,,,,,,,,,,,,,,,
42,14.9833333333333,82.4666666666667,162.466666666667,234.966666666667,302.466666666667,522.483333333333,584.983333333333,610,624.983333333333,642.483333333333,,,,,,,,,,,,,,,,,,,,
43,0,612.483333333333,772.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,129.966666666667,192.466666666667,267.466666666667,339.966666666667,424.983333333333,519.983333333333,620,725,740,847.5,,,,,,,,,,,,,,,,,,,,
