cell,yrange,omegahat,qxx,alpha,beta,p,q
0,4.34159893540426,0.250911691429648,1.93967451578048,4.40E-06,0.000807686357536,0.004047486199974,-0.110520439713185
1,2.61987919589059,0.612455662928511,0.351655031826954,-2.15E-05,0.008656290343611,0.133134446604694,2.30300707682193
2,4.20908834078515,0.256617112594045,1.6669593529006,1.78E-06,0.001442714520645,0.00436525824905,-0.108443127900432
3,3.18740915262827,0.183506386161379,1.59802254357202,2.23E-06,0.000484021756691,0.001187374489593,-0.055767246334333
4,2.14122316552119,0.867137032545042,1.91712487303648,0.000203757242384,0.000611288327235,0.612329761670698,-1.36304117473182
5,1.81846666827606,0.594182017368085,0.113579599679624,-1.65E-06,0.014610243162282,0.121553073887079,26.6703045714796
6,3.78787972090057,1.61517837482346,0.937617225084526,0.041689420811257,-0.00111189025002,12.5113853499051,-5.36978128002462
7,3.26755383574945,0.307458444325844,0.330078500802213,2.25E-05,0.007700690916143,0.011388327601495,0.650558647550234
8,4.87927760641544,0.96730892390478,1.48392963697284,0.001274709297209,0.005818499869336,0.950619252347821,-1.5285286708258
9,2.60456199467275,0.427667280810702,0.251375623285494,-3.42E-06,0.005580026560587,0.031674235114365,2.5382441684573
10,8.94071421135803,0.514946422478431,0.660262663995303,0.000746411485608,0.019072693896338,0.090831053369676,-0.006103538252247
11,5.07238123555934,0.408124041666625,1.31714032619201,0.000101006096243,0.004946130101323,0.029487419526796,-0.247756470376907
12,5.59423151439293,0.549296030786858,0.445356623401816,0.000272202306411,0.044607122165066,0.100132823277535,0.886852186123243
13,4.32997771243161,0.672550486989585,6.15041429493479,0.000843716678899,-0.001079445489646,0.216976744765557,-0.920486691298434
14,8.53886362144899,0.393739675020305,4.41491084623015,0.000478145447717,0.001022540831336,0.024953915614534,-0.308095834249561
15,10.0554317735252,0.200397018168434,2.01634628887047,-2.55E-05,0.004507377874253,0.001547890520577,-0.068841346021627
16,3.47379496414356,0.217275036461665,1.36515698862689,-2.40E-06,0.000857035063858,0.002153307029997,-0.067503331766455
17,4.79436600249142,0.237458934207414,1.37487214026224,-2.47E-06,0.003114893159932,0.003155448863718,-0.082518431209495
18,7.16449292351128,0.193686148475315,2.41168248358819,-9.45E-06,0.002112242429717,0.001374573870033,-0.067710694358369
19,1.83446513438172,0.205339055234098,2.05339055234098,-1.15E-05,0.000756780605458,-0.011126085801207,0.221711503965337
20,3.22772554221832,0.341923957803848,0.41702302005119,-1.10E-05,0.007693379294395,0.012691465878757,0.446650761999595
21,5.91393157297068,0.293142041435079,2.65768167750678,0.000117303335067,0.002136168026967,0.007789721773142,-0.164482336921538
22,2.0232107496137,0.249696000476325,1.87503348690945,1.99E-06,0.000161158673574,0.004069567880042,-0.109920989554658
23,4.19131908484191,0.247431694785327,2.23653515008792,1.99E-05,0.00174917688026,0.003865435095534,-0.112135835308469
24,3.90773055244546,0.205121514657141,2.58743721004788,-4.76E-06,0.000697667077075,0.001719124343103,-0.076657553646323
25,1.96514852459327,0.258987398082426,2.69744955790816,2.35E-06,0.000126138622559,0.004633100554592,-0.126945282050511
26,5.18527528095384,0.259056181165786,1.3721000578065,1.48E-05,0.004434694255014,0.004617126436997,-0.100273687496516
27,3.02274972150323,0.199618542746942,0.861802642090185,8.03E-06,0.001542590637761,0.001833548426972,-0.032468639129491
28,9.90613939914329,0.314095004982526,0.437319193735883,2.03E-06,0.083170593704089,0.009745510352102,0.318413052877369
29,7.35102593156587,0.219575728022245,1.40810200292532,-2.85E-05,0.004415903754761,0.002143522316677,-0.068426380409984
30,4.15287401381028,0.211711142425101,1.66847278626758,-2.23E-06,0.000848739896597,0.001964031418054,-0.072545143009588
31,12.2307818519088,0.245617805763155,1.53151607851363,-6.35E-06,0.01046430685602,0.003623703373601,-0.094674642727894
32,10.8295915674332,0.241534818294922,1.62070209518114,5.66E-06,0.006924544559902,0.00342135415567,-0.094775260534486
33,8.17758158239607,0.337394052605126,2.58557443416682,0.000737363797891,-0.000425990243614,0.01494476358388,-0.228817085469371
34,6.48318785009397,0.278579020997852,2.88199209256722,1.24E-05,0.002457767930725,0.006067040580572,-0.146440984262759
35,4.65162846661775,0.320872052223828,2.26925523349843,7.06E-06,0.001367399286898,0.01069886821099,-0.186881216761453
36,10.4651625537911,0.19861812030211,2.35990878507637,-3.33E-05,0.007258802009403,0.001519493694364,-0.070888873752396
37,3.10093183685479,0.270282523229101,2.53728941550203,3.50E-05,0.000525129502729,0.005728737447353,-0.140226915822382
